Time,Latency
0.000,0.4191
0.606,0.4207
1.212,0.4169
1.818,0.4231
2.424,0.4201
3.030,0.4262
3.636,0.4149
4.242,0.4132
4.848,0.3993
5.455,0.3924
6.061,0.3835
6.667,0.3751
7.273,0.3654
7.879,0.3565
8.485,0.3568
9.091,0.3629
9.697,0.3666
10.303,0.3697
10.909,0.3741
11.515,0.3762
12.121,0.3691
12.727,0.3621
13.333,0.3400
13.939,0.3391
14.545,0.3126
15.152,0.3032
15.758,0.2840
16.364,0.2944
16.970,0.2979
17.576,0.3069
18.182,0.3071
18.788,0.3087
19.394,0.3066
20.000,0.3097
20.606,0.3242
21.212,0.3346
21.818,0.3376
22.424,0.3448
23.030,0.3505
23.636,0.3628
24.242,0.3674
24.848,0.3696
25.455,0.3673
26.061,0.3691
26.667,0.3838
27.273,0.4084
27.879,0.4379
28.485,0.4685
29.091,0.4965
29.697,0.5142
30.303,0.5337
30.909,0.5376
31.515,0.5538
32.121,0.5589
32.727,0.5664
33.333,0.5844
33.939,0.6067
34.545,0.6331
35.152,0.6331
35.758,0.6354
36.364,0.6661
36.970,0.7067
37.576,0.7513
38.182,0.7811
38.788,0.8086
39.394,0.8422
40.000,0.8584
40.606,0.8715
41.212,0.8651
41.818,0.8668
42.424,0.8578
43.030,0.8441
43.636,0.8203
44.242,0.7965
44.848,0.7647
45.455,0.7368
46.061,0.7108
46.667,0.6962
47.273,0.6901
47.879,0.6964
48.485,0.7002
49.091,0.6997
49.697,0.6966
50.303,0.6945
50.909,0.6824
51.515,0.6606
52.121,0.6318
52.727,0.6064
53.333,0.5821
53.939,0.5635
54.545,0.5404
55.152,0.5354
55.758,0.5384
56.364,0.5467
56.970,0.5516
57.576,0.5504
58.182,0.5503
58.788,0.5369
59.394,0.5361
60.000,0.5348
