Time,Latency
0.000,0.2188
0.606,0.2188
1.212,0.2188
1.818,0.2121
2.424,0.2096
3.030,0.2071
3.636,0.2082
4.242,0.2048
4.848,0.2026
5.455,0.2045
6.061,0.2083
6.667,0.2099
7.273,0.2056
7.879,0.2006
8.485,0.1986
9.091,0.1938
9.697,0.1918
10.303,0.1856
10.909,0.1861
11.515,0.1886
12.121,0.1878
12.727,0.1858
13.333,0.1751
13.939,0.1732
14.545,0.1681
15.152,0.1677
15.758,0.1673
16.364,0.1702
16.970,0.1759
17.576,0.1746
18.182,0.1718
18.788,0.1650
19.394,0.1598
20.000,0.1590
20.606,0.1601
21.212,0.1695
21.818,0.1814
22.424,0.1915
23.030,0.1994
23.636,0.2030
24.242,0.2076
24.848,0.2142
25.455,0.2183
26.061,0.2240
26.667,0.2285
27.273,0.2380
27.879,0.2510
28.485,0.2638
29.091,0.2710
29.697,0.2774
30.303,0.2821
30.909,0.2894
31.515,0.2948
32.121,0.3009
32.727,0.3132
33.333,0.3234
33.939,0.3332
34.545,0.3367
35.152,0.3405
35.758,0.3481
36.364,0.3544
36.970,0.3638
37.576,0.3669
38.182,0.3779
38.788,0.3890
39.394,0.4008
40.000,0.4034
40.606,0.3971
41.212,0.3901
41.818,0.3853
42.424,0.3823
43.030,0.3796
43.636,0.3760
44.242,0.3743
44.848,0.3742
45.455,0.3674
46.061,0.3601
46.667,0.3465
47.273,0.3437
47.879,0.3380
48.485,0.3386
49.091,0.3338
49.697,0.3359
50.303,0.3342
50.909,0.3311
51.515,0.3221
52.121,0.3130
52.727,0.3060
53.333,0.3033
53.939,0.2998
54.545,0.2975
55.152,0.2929
55.758,0.2909
56.364,0.2839
56.970,0.2801
57.576,0.2736
58.182,0.2714
58.788,0.2658
59.394,0.2634
60.000,0.2625
