0.16663034,0.1620125,0.14718537,0.160455
0.16539472,0.2137247,0.09443423,0.19687515
0.1722,0.15027331,0.26719156,0.18711852
0.16332954,0.12862656,0.22077857,0.1683506
0.28309688,0.44512126,0.09252124,0.13307306
0.17086676,0.31930855,0.35469124,0.114063114
0.06382215,0.262659,0.07523545,0.11215713
0.09078876,0.14176577,0.24836491,0.16936399
0.18274057,0.11243731,0.053740896,0.35086837
0.17009972,0.20429522,0.2779799,0.16523562
0.15410444,0.07777161,0.08822682,0.056619126
0.1276638,0.17538676,0.031989522,0.20332086
0.095922716,0.15500763,0.2104241,0.13411368
0.16620336,0.09122872,0.13340706,0.08490214
0.43026114,0.3243384,0.19931649,0.19214122
0.1087775,0.031572618,0.27625984,0.15481898
0.29313484,0.38142818,0.29803094,0.13853025
0.11173687,0.30722728,0.3293475,0.14454702
0.06436174,0.11257842,0.17298707,0.18054755
0.22620745,0.047393467,0.30408958,0.25450578
0.06358196,0.2568747,0.15659592,0.17900944
0.21768554,0.13758872,0.1503649,0.19082935
0.39235592,0.23665296,0.22446346,0.37673473
0.20780222,0.29239625,0.32476407,0.11533212
0.13894814,0.39415598,0.10633791,0.3398281
0.06415238,0.38154995,0.13911453,0.27337244
0.39941525,0.30294308,0.3873741,0.26140037
0.3702351,0.09515642,0.39706355,0.3682046
