0.056556575,0.16438769,0.18165985,0.32085383,0.31976053,0.31959203,0.1228861,0.45785236
0.1430132,0.114247195,0.16366485,0.20189622,0.0394508,0.12272934,0.12576,0.16602498
0.21546209,0.12489421,0.15355432,0.22806908,0.15436389,0.45639795,0.15780927,0.11818617
0.1788236,0.14926872,0.0618127,0.18270713,0.108121514,0.28383225,0.22677949,0.07818849
0.2504057,0.10204391,0.14712566,0.06656989,0.22926995,0.18564808,0.07760979,0.20611942
0.12962675,0.19932847,0.45504177,0.036942154,0.16421345,0.27738145,0.0924051,0.07210863
0.22449358,0.12784362,0.07714514,0.03678786,0.11099066,0.15135549,0.328272,0.26192176
0.15421464,0.15227678,0.10005964,0.08994997,0.0834188,0.2838589,0.19240443,0.09564886
0.2887447,0.105651945,0.3751246,0.15309192,0.25296664,0.06250779,0.21373753,0.24833693
0.28549224,0.33859318,0.042183686,0.26911324,0.22288334,0.21617264,0.23105776,0.2538005
0.3865646,0.37252825,0.1102613,0.3146772,0.23450123,0.16351944,0.14745472,0.26527697
0.19024022,0.350527,0.10734433,0.2578233,0.08462781,0.28438392,0.21911241,0.3178137
0.09943947,0.129438,0.14078133,0.1296771,0.042111013,0.1264836,0.0763521,0.11524484
0.37397644,0.34996578,0.3337783,0.29906803,0.37967497,0.2942746,0.27028853,0.2602626
0.2902022,0.27727365,0.05706936,0.32913855,0.4027288,0.2784857,0.20129643,0.3909467
0.3527817,0.09799149,0.16675153,0.20076022,0.37576422,0.24520805,0.20880713,0.326033
0.3275891,0.16961691,0.32166836,0.08532571,0.2510826,0.3355812,0.29180446,0.05824052
0.21961065,0.12996748,0.3153378,0.16526292,0.3043219,0.27315658,0.3979612,0.26383048
0.2709258,0.26239124,0.21933044,0.20374985,0.33882016,0.35387167,0.092045456,0.24234936
0.37674493,0.317921,0.18720096,0.43271074,0.2983876,0.16344757,0.20016193,0.195491
0.3149145,0.32240078,0.20490417,0.38445145,0.29731748,0.24464473,0.3740383,0.15291117
0.26039124,0.027198125,0.1988466,0.19106907,0.13521318,0.37377584,0.26662362,0.41230407
0.35172656,0.24540322,0.22344056,0.39868578,0.1276924,0.3235845,0.17842159,0.3236687
0.21668541,0.38724142,0.17563616,0.33440912,0.15723768,0.29419538,0.29751754,0.055007376
0.21760495,0.28867364,0.18048228,0.115437284,0.36876324,0.35743192,0.41276273,0.07693068
0.27345386,0.42646903,0.19322787,0.42735744,0.20988035,0.049295112,0.19380106,0.07021689
0.34585348,0.31771764,0.27589214,0.412519,0.23315977,0.17062359,0.226859,0.33462796
0.183493,0.44390932,0.10400386,0.2084356,0.28683057,0.40955317,0.26429483,0.2489043
0.26700515,0.068792954,0.1794503,0.3186119,0.29745245,0.24666157,0.27058068,0.19302161
0.19875526,0.20990287,0.27656338,0.16343257,0.2931695,0.3977984,0.046552792,0.17690088
0.342439,0.19522868,0.24128711,0.35507563,0.2538293,0.23162167,0.3186077,0.3333499
0.09408211,0.14230749,0.16845597,0.08116808,0.28264865,0.26396593,0.12965508,0.2215464
