tp,request_id,total_latency_ms,compute_only_ms,prefill_compute_ms,decode_compute_ms,network_queue_ms,network_transfer_ms,io_pack_ms,io_unpack_ms,kv_size_bytes,compression_time_ms,decompression_time_ms,original_kv_size_bytes,compression_ratio
1,req_0,3559.9879677979106,3543.031883239746,516.1211490631104,3026.9107341766357,0.0,16.9560845581644,3.1931674607864142,2.792051083142674,17426836,112.11395263671875,121.84643745422363,142606336,8.18314558075832
1,req_1,3557.2683494656885,3543.031883239746,516.1211490631104,3026.9107341766357,0.0,14.236466225942499,3.105117274140115,2.626362682670897,16269188,50.72331428527832,19.335031509399414,125829120,7.734197920633777
1,req_2,3558.94894971621,3543.031883239746,516.1211490631104,3026.9107341766357,0.0,15.917066476463814,3.4194542582100595,2.952612563423868,17426836,21.332740783691406,38.50150108337402,142606336,8.18314558075832
1,req_3,3557.806121030039,3543.031883239746,516.1211490631104,3026.9107341766357,0.0,14.77423779029274,2.6422041827524385,3.334806611223155,16269188,32.83047676086426,19.466400146484375,125829120,7.734197920633777
1,req_4,3313.3786555835236,3297.097873687744,270.1871395111084,3026.9107341766357,0.0,16.280781895779615,2.877195925336284,3.4912180073543206,17426836,44.45528984069824,25.5892276763916,142606336,8.18314558075832
1,req_5,3311.5843593366494,3297.097873687744,270.1871395111084,3026.9107341766357,0.0,14.486485648905314,3.2497450176994374,2.6969224057192056,16269188,20.746707916259766,27.13179588317871,125829120,7.734197920633777
1,req_6,3313.1018458439003,3297.097873687744,270.1871395111084,3026.9107341766357,0.0,16.00397215615646,3.6676146536899314,3.2061551734679514,17426836,29.398679733276367,20.04694938659668,142606336,8.18314558075832
1,req_7,3311.4972855834926,3297.097873687744,270.1871395111084,3026.9107341766357,0.0,14.399411895748484,2.819702962240508,2.992660881119647,16269188,20.84660530090332,21.703243255615234,125829120,7.734197920633777
1,req_8,3313.4883679737395,3296.9722270965576,270.0614929199219,3026.9107341766357,0.0,16.5161408771821,3.4053263058597487,3.137789312635152,17426836,20.92909812927246,19.332408905029297,142606336,8.18314558075832
1,req_9,3311.312925236726,3296.9722270965576,270.0614929199219,3026.9107341766357,0.0,14.340698140168222,3.1775040934282965,2.6635965522051888,16269188,20.59626579284668,54.456472396850586,125829120,7.734197920633777
1,req_10,3313.216968809621,3296.9722270965576,270.0614929199219,3026.9107341766357,0.0,16.244741713063366,2.943707839777982,3.1217374796879778,17426836,34.328460693359375,19.9429988861084,142606336,8.18314558075832
1,req_11,3311.6101425125626,3296.9722270965576,270.0614929199219,3026.9107341766357,0.0,14.637915416004379,3.472415212283394,3.066033905339827,16269188,22.23515510559082,26.308774948120117,125829120,7.734197920633777
1,req_12,3313.513211075263,3297.156524658203,270.2457904815674,3026.9107341766357,0.0,16.35668641705965,3.7164721688421576,2.80516852653618,17426836,33.55741500854492,20.68805694580078,142606336,8.18314558075832
1,req_13,3312.2938838383725,3297.156524658203,270.2457904815674,3026.9107341766357,0.0,15.137359180169287,2.9097693434896374,3.286567199482085,16269188,20.674943923950195,29.456138610839844,125829120,7.734197920633777
1,req_14,3312.643002483481,3297.156524658203,270.2457904815674,3026.9107341766357,0.0,15.486477825277499,3.0139745637443482,2.890445013173459,17426836,21.101951599121094,42.154788970947266,142606336,8.18314558075832
1,req_15,3312.687938410958,3297.156524658203,270.2457904815674,3026.9107341766357,0.0,15.531413752754226,2.707731459729825,2.6262541318182624,16269188,49.02076721191406,19.36483383178711,125829120,7.734197920633777
1,req_16,3313.2761239515803,3297.8775024414062,270.9667682647705,3026.9107341766357,0.0,15.398621510173706,3.286781263448262,3.3863943359531423,17426836,21.32558822631836,50.50802230834961,142606336,8.18314558075832
1,req_17,3313.5092770309197,3297.8775024414062,270.9667682647705,3026.9107341766357,0.0,15.631774589513258,2.6136737580821965,2.9816526078401675,16269188,20.63441276550293,19.59514617919922,125829120,7.734197920633777
1,req_18,3314.1087462446512,3297.8775024414062,270.9667682647705,3026.9107341766357,0.0,16.23124380324518,3.258396945625778,3.0965903611430026,17426836,21.050453186035156,42.20724105834961,142606336,8.18314558075832
1,req_19,3312.3318084690704,3297.8775024414062,270.9667682647705,3026.9107341766357,0.0,14.45430602766374,2.6635346367226114,3.2843482450724735,16269188,20.57051658630371,24.845361709594727,125829120,7.734197920633777
