X,Method,Y
5090,Default(BF16),3636.07
5090,CacheGen,2447.19
5090,KIVI,2744.15
5090,KVServe,2174.42
Pro 6000,Default(BF16),1695.17
Pro 6000,CacheGen,1479.59
Pro 6000,KIVI,1608.24
Pro 6000,KVServe,1383.83
H100,Default(BF16),1292.91
H100,CacheGen,1347.84
H100,KIVI,1454.89
H100,KVServe,1208.02
