tp,request_id,total_latency_ms,compute_only_ms,prefill_compute_ms,decode_compute_ms,network_queue_ms,network_transfer_ms,io_pack_ms,io_unpack_ms,kv_size_bytes,compression_time_ms,decompression_time_ms,original_kv_size_bytes,compression_ratio
1,req_0,5291.424327332902,5283.437919616699,4589.560270309448,693.877649307251,0.0,7.9864077162024225,3.6797385287412956,3.9036108577822217,18852340,384.04130935668945,103.97601127624512,142606336,7.564383837762315
1,req_1,5291.607276437797,5283.437919616699,4589.560270309448,693.877649307251,0.0,8.169356821097429,3.7460636438124255,2.934088717809323,18352036,140.20848274230957,51.732778549194336,125829120,6.856412007910185
1,req_2,5292.884051287569,5283.437919616699,4589.560270309448,693.877649307251,0.0,9.446131670869017,3.996522784419323,3.6292643232768875,18852340,158.27012062072754,52.52885818481445,142606336,7.564383837762315
1,req_3,5292.517938383566,5283.437919616699,4589.560270309448,693.877649307251,0.0,9.08001876686645,3.5951744262191903,3.2876855492234576,18352036,124.91488456726074,55.05180358886719,125829120,6.856412007910185
1,req_4,938.8502136686132,930.1127910614014,236.2351417541504,693.877649307251,0.0,8.737422607211892,3.6939173297302634,3.539892695388595,18852340,141.12138748168945,687.9353523254395,142606336,7.564383837762315
1,req_5,939.1793865718755,930.1127910614014,236.2351417541504,693.877649307251,0.0,9.066595510474226,3.6988351780473194,3.0158413042670364,18352036,60.63103675842285,63.73953819274902,125829120,6.856412007910185
1,req_6,938.9234737216468,930.1127910614014,236.2351417541504,693.877649307251,0.0,8.810682660245158,3.6008722877321517,3.5738031386126177,18852340,59.48805809020996,63.63391876220703,142606336,7.564383837762315
1,req_7,938.1330707762468,930.1127910614014,236.2351417541504,693.877649307251,0.0,8.020279714845707,3.7410603762236607,2.9808093583894375,18352036,80.19113540649414,89.7359848022461,125829120,6.856412007910185
1,req_8,962.7901937913075,952.9735565185547,259.0959072113037,693.877649307251,0.0,9.816637272752677,3.9864583836989316,3.8625694499540097,18852340,24.270057678222656,57.83367156982422,142606336,7.564383837762315
1,req_9,961.2568374273285,952.9735565185547,259.0959072113037,693.877649307251,0.0,8.283280908774099,3.761126946257902,3.1663233079728053,18352036,19.435882568359375,67.2292709350586,125829120,6.856412007910185
1,req_10,962.0336002193017,952.9735565185547,259.0959072113037,693.877649307251,0.0,9.060043700746975,3.7398110225552834,3.1768249461604716,18852340,20.561695098876953,72.80397415161133,142606336,7.564383837762315
1,req_11,960.7931532909186,952.9735565185547,259.0959072113037,693.877649307251,0.0,7.819596772364095,3.827241253069812,3.0631297403530704,18352036,22.167205810546875,69.56052780151367,125829120,6.856412007910185
1,req_12,926.4957852983625,916.8285846710205,222.95093536376953,693.877649307251,0.0,9.667200627342213,3.8459489440327816,3.3652842830897076,18852340,19.53864097595215,54.15844917297363,142606336,7.564383837762315
1,req_13,924.9815628483539,916.8285846710205,222.95093536376953,693.877649307251,0.0,8.15297817733346,3.699822040706692,3.485166858553821,18352036,18.942594528198242,46.434879302978516,125829120,6.856412007910185
1,req_14,929.6429386106074,916.8285846710205,222.95093536376953,693.877649307251,3.7025044892729966,9.111849450313944,3.280391673545898,3.865821047417735,18852340,32.70530700683594,54.05759811401367,142606336,7.564383837762315
1,req_15,925.7317215639982,916.8285846710205,222.95093536376953,693.877649307251,0.0,8.903136892977527,3.177528576502309,2.9858186099880575,18352036,21.565914154052734,67.82078742980957,125829120,6.856412007910185
1,req_16,926.526294036827,917.0183658599854,223.14071655273438,693.877649307251,0.0,9.507928176841624,3.2992698314097373,3.526951794359497,18852340,19.801855087280273,44.454336166381836,142606336,7.564383837762315
1,req_17,924.9561313467239,917.0183658599854,223.14071655273438,693.877649307251,0.0,7.9377654867378915,3.485863292456418,3.209217262771029,18352036,32.483816146850586,57.38472938537598,125829120,6.856412007910185
1,req_18,926.8084747140597,917.0183658599854,223.14071655273438,693.877649307251,0.0,9.790108854074198,3.7755414877757483,3.560466203132858,18852340,18.66912841796875,51.98788642883301,142606336,7.564383837762315
1,req_19,924.6189595435972,917.0183658599854,223.14071655273438,693.877649307251,0.0,7.6005936836115975,2.9278139600256248,3.4978189571046374,18352036,22.54199981689453,47.09577560424805,125829120,6.856412007910185
