tp,request_id,total_latency_ms,compute_only_ms,prefill_compute_ms,decode_compute_ms,network_queue_ms,network_transfer_ms,io_pack_ms,io_unpack_ms,kv_size_bytes,compression_time_ms,decompression_time_ms,original_kv_size_bytes,compression_ratio
1,req_0,2532.9391414312768,2141.0167694091797,1605.1549911499023,535.8617782592773,0.0,77.2425109533716,15.177441538969463,15.50801615096732,81983056,210.84308624267578,103.8367748260498,547356672,6.676460950662781
1,req_1,2262.52809024203,2141.0167694091797,1605.1549911499023,535.8617782592773,0.0,65.15512919771854,13.605573665731045,13.06670945788189,70369480,39.77465629577637,16.58153533935547,459276288,6.526640356017978
1,req_2,2371.020634319866,2141.0167694091797,1605.1549911499023,535.8617782592773,0.0,82.80733361491042,16.934132532012473,16.34830067852978,89227024,112.84756660461426,34.34896469116211,595591168,6.67500877312685
1,req_3,2255.6341806552914,2141.0167694091797,1605.1549911499023,535.8617782592773,0.0,59.100929846575376,11.85984853189727,11.957845671437282,64479576,42.699575424194336,12.816905975341797,413138944,6.407283819608243
1,req_4,2398.8743482635705,2168.0942058563232,1632.232427597046,535.8617782592773,0.0,85.8621774719443,16.77673194299232,17.425370165119308,91363080,97.17655181884766,47.74141311645508,606076928,6.633718215279082
1,req_5,2430.213476245699,2168.0942058563232,1632.232427597046,535.8617782592773,6.640501385048083,100.64092224834688,20.613733207366234,20.05970953148262,108949368,108.8876724243164,45.95017433166504,727711744,6.679357185440488
1,req_6,2441.951394849014,2168.0942058563232,1632.232427597046,535.8617782592773,0.0,105.1212080051422,21.352550427006417,20.61461274636628,112912056,106.15062713623047,62.58535385131836,761266176,6.742115970326499
1,req_7,2483.7634459197375,2168.0942058563232,1632.232427597046,535.8617782592773,0.0,120.63592821954195,23.808825679743247,24.417075644183456,129982312,138.8099193572998,56.223392486572266,874512384,6.727933751478432
1,req_8,1335.720055663762,1208.463954925537,672.6021766662598,535.8617782592773,0.0,68.56054600494816,14.297140606913308,13.550114771075792,74402624,40.73524475097656,17.960309982299805,480247808,6.454716005715067
1,req_9,1440.2247471526457,1208.463954925537,672.6021766662598,535.8617782592773,0.0,100.58527419121987,20.257934382790957,19.851789435712554,108025416,90.74902534484863,40.42649269104004,721420288,6.678245867620634
