X,Method,Y
5090,Default(BF16),3526.20
5090,CacheGen,2336.39
5090,KIVI,2311.07
5090,KVServe,2107.58
4090,Default(BF16),3909.41
4090,CacheGen,3346.10
4090,KIVI,3383.05
4090,KVServe,3336.68
Pro 6000,Default(BF16),1395.54
Pro 6000,CacheGen,1341.62
Pro 6000,KIVI,1335.68
Pro 6000,KVServe,1315.34
H100,Default(BF16),1191.98
H100,CacheGen,1197.93
H100,KIVI,1178.91
H100,KVServe,1162.96
