X,Method,Y
5090,Default(BF16),5782.98
5090,CacheGen,2626.39
5090,KIVI,2624.25
5090,KVServe,2554.79
4090,Default(BF16),6947.17
4090,CacheGen,4505.72
4090,KIVI,4527.21
4090,KVServe,4438.34
Pro 6000,Default(BF16),1767.26
Pro 6000,CacheGen,1542.25
Pro 6000,KIVI,1519.56
Pro 6000,KVServe,1510.62
H100,Default(BF16),1364.09
H100,CacheGen,1334.59
H100,KIVI,1313.96
H100,KVServe,1311.65
