type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
cachegen,29696,3.625,0.034,0.0243,106.62,149.43
cachegen,30720,3.75,0.0362,0.025,103.52,149.83
cachegen,31744,3.875,0.0383,0.0259,101.15,149.68
cachegen,32768,4.0,0.0401,0.0267,99.7,149.86
hadamard,1024,0.125,0.0064,0.0052,19.51,24.03
hadamard,2048,0.25,0.0063,0.0052,39.45,48.38
hadamard,3072,0.375,0.0065,0.0053,57.59,70.85
hadamard,4096,0.5,0.0065,0.0053,76.44,94.18
hadamard,5120,0.625,0.0064,0.0052,98.1,120.55
hadamard,6144,0.75,0.0064,0.0052,116.97,144.33
hadamard,7168,0.875,0.0084,0.0068,104.56,128.52
hadamard,8192,1.0,0.0064,0.0052,156.07,191.9
hadamard,9216,1.125,0.0067,0.0051,167.3,218.89
hadamard,10240,1.25,0.0074,0.0052,168.33,239.94
hadamard,11264,1.375,0.0082,0.0055,168.56,252.04
hadamard,12288,1.5,0.009,0.0059,167.58,252.36
hadamard,13312,1.625,0.0099,0.0065,164.96,251.17
hadamard,14336,1.75,0.0108,0.0071,161.81,248.03
hadamard,15360,1.875,0.0119,0.0077,157.12,243.91
hadamard,16384,2.0,0.0131,0.0085,153.24,235.71
hadamard,17408,2.125,0.0143,0.0092,149.06,230.77
hadamard,18432,2.25,0.0156,0.0107,144.15,210.84
hadamard,19456,2.375,0.017,0.012,139.7,198.4
hadamard,20480,2.5,0.0189,0.0133,132.59,188.38
hadamard,21504,2.625,0.0201,0.0153,130.59,171.68
hadamard,22528,2.75,0.0216,0.0163,127.41,168.39
hadamard,23552,2.875,0.0228,0.0177,126.18,162.79
hadamard,24576,3.0,0.0241,0.0185,124.48,162.16
hadamard,25600,3.125,0.0259,0.0201,120.73,155.77
hadamard,26624,3.25,0.0273,0.0212,119.13,153.01
hadamard,27648,3.375,0.0293,0.0228,115.15,148.32
hadamard,28672,3.5,0.0313,0.0243,111.93,144.03
hadamard,29696,3.625,0.0328,0.0255,110.44,142.27
hadamard,30720,3.75,0.0343,0.0264,109.47,142.24
hadamard,31744,3.875,0.0355,0.0273,109.03,142.07
hadamard,32768,4.0,0.0367,0.0282,108.87,142.02
quantizer,1024,0.125,0.0207,0.0064,6.04,19.68
quantizer,2048,0.25,0.0143,0.0042,17.54,59.95
quantizer,3072,0.375,0.0143,0.0042,26.26,89.73
quantizer,4096,0.5,0.0205,0.0063,24.41,79.6
quantizer,5120,0.625,0.0141,0.0041,44.35,150.65
quantizer,6144,0.75,0.0142,0.0042,52.81,179.89
quantizer,7168,0.875,0.0144,0.0042,60.78,209.24
quantizer,8192,1.0,0.0142,0.0043,70.22,235.15
quantizer,9216,1.125,0.0144,0.0047,78.38,238.36
quantizer,10240,1.25,0.0144,0.0052,86.97,240.95
quantizer,11264,1.375,0.0208,0.0064,66.14,213.9
quantizer,12288,1.5,0.0142,0.0062,105.46,242.79
quantizer,13312,1.625,0.0144,0.0068,112.63,238.69
quantizer,14336,1.75,0.0209,0.0073,83.6,239.08
