type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0273,0.0002,0.0002,128.85,157.33
ans,2048,0.0547,0.0003,0.0003,181.36,208.38
ans,3072,0.082,0.0004,0.0003,185.69,235.33
ans,4096,0.1094,0.0006,0.0004,193.66,250.36
ans,5120,0.1367,0.0007,0.0005,197.67,268.97
ans,6144,0.1641,0.0009,0.0006,192.01,270.8
ans,7168,0.1914,0.001,0.0007,196.84,281.28
ans,8192,0.2188,0.0011,0.0007,202.12,295.44
ans,9216,0.2461,0.0012,0.0008,198.94,298.01
ans,10240,0.2734,0.0014,0.0009,201.34,314.52
ans,11264,0.3008,0.0015,0.001,197.32,309.15
ans,12288,0.3281,0.0016,0.001,199.82,323.39
ans,13312,0.3555,0.0018,0.0011,194.04,309.14
ans,14336,0.3828,0.0019,0.0012,198.81,318.2
ans,15360,0.4102,0.0021,0.0013,199.99,317.77
ans,16384,0.4375,0.0022,0.0014,195.45,321.12
ans,17408,0.4648,0.0024,0.0014,197.59,334.85
ans,18432,0.4922,0.0025,0.0014,198.53,339.83
ans,19456,0.5195,0.0026,0.0015,200.84,338.63
ans,20480,0.5469,0.0027,0.0016,203.11,339.46
ans,21504,0.5742,0.0029,0.0017,197.98,340.33
ans,22528,0.6016,0.003,0.0018,198.28,340.79
ans,23552,0.6289,0.0031,0.0018,201.17,342.64
ans,24576,0.6563,0.0032,0.0019,202.31,340.76
ans,25600,0.6836,0.0034,0.002,203.02,349.6
ans,26624,0.7109,0.0036,0.0021,198.1,342.59
ans,27648,0.7383,0.0037,0.0022,198.89,339.23
ans,28672,0.7656,0.0038,0.0022,201.31,345.65
ans,29696,0.793,0.0039,0.0023,200.88,343.26
ans,30720,0.8203,0.0041,0.0024,200.87,342.89
ans,31744,0.8477,0.0042,0.0025,201.89,345.19
ans,32768,0.875,0.0043,0.0025,205.34,352.94
bitcomp,1024,0.0273,0.0001,0.0002,204.42,159.52
bitcomp,2048,0.0547,0.0002,0.0002,264.09,239.43
bitcomp,3072,0.082,0.0003,0.0003,288.89,244.27
bitcomp,4096,0.1094,0.0004,0.0004,297.39,256.42
bitcomp,5120,0.1367,0.0005,0.0005,295.68,259.11
bitcomp,6144,0.1641,0.0006,0.0006,292.05,278.89
bitcomp,7168,0.1914,0.0007,0.0007,291.76,273.49
bitcomp,8192,0.2188,0.0007,0.0008,293.5,284.09
bitcomp,9216,0.2461,0.0008,0.0008,310.26,290.21
bitcomp,10240,0.2734,0.0009,0.0009,315.66,302.6
bitcomp,11264,0.3008,0.001,0.001,306.42,303.41
bitcomp,12288,0.3281,0.0011,0.0011,310.39,296.99
bitcomp,13312,0.3555,0.0012,0.0012,307.38,300.08
bitcomp,14336,0.3828,0.0012,0.0012,312.94,307.86
bitcomp,15360,0.4102,0.0013,0.0013,307.56,308.84
bitcomp,16384,0.4375,0.0014,0.0014,309.98,312.91
bitcomp,17408,0.4648,0.0015,0.0015,311.13,317.87
bitcomp,18432,0.4922,0.0016,0.0016,312.41,304.87
bitcomp,19456,0.5195,0.0016,0.0017,315.18,308.33
bitcomp,20480,0.5469,0.0018,0.0017,310.96,313.71
bitcomp,21504,0.5742,0.0019,0.0018,309.7,316.65
bitcomp,22528,0.6016,0.0019,0.0019,314.22,315.43
bitcomp,23552,0.6289,0.002,0.002,310.56,317.16
bitcomp,24576,0.6563,0.0021,0.0021,311.83,318.98
bitcomp,25600,0.6836,0.0021,0.0021,319.24,321.31
bitcomp,26624,0.7109,0.0022,0.0022,319.1,321.78
bitcomp,27648,0.7383,0.0023,0.0023,318.96,321.83
bitcomp,28672,0.7656,0.0025,0.0024,311.77,322.42
bitcomp,29696,0.793,0.0025,0.0025,320.7,322.8
bitcomp,30720,0.8203,0.0026,0.0025,316.55,323.49
bitcomp,31744,0.8477,0.0027,0.0026,314.46,322.36
bitcomp,32768,0.875,0.0028,0.0027,317.05,324.95
cachegen,1024,0.0547,0.003,0.0009,18.51,63.23
cachegen,2048,0.1094,0.0029,0.0008,38.14,130.36
cachegen,3072,0.1641,0.0029,0.0009,57.37,190.94
cachegen,4096,0.2188,0.0029,0.0011,76.66,197.74
cachegen,5120,0.2735,0.0031,0.0014,89.27,197.14
cachegen,6144,0.3281,0.0033,0.0015,99.11,219.05
cachegen,7168,0.3828,0.0035,0.0016,110.93,238.54
cachegen,8192,0.4375,0.0037,0.0017,118.48,260.14
cachegen,9216,0.4922,0.0042,0.002,118.37,251.41
cachegen,10240,0.5469,0.0043,0.002,126.57,277.54
cachegen,11264,0.6016,0.0046,0.002,130.95,304.37
cachegen,12288,0.6563,0.0047,0.0023,139.59,288.44
cachegen,13312,0.711,0.0049,0.0023,144.96,304.13
cachegen,14336,0.7656,0.0051,0.0025,149.82,307.97
cachegen,15360,0.8203,0.0053,0.0027,154.82,298.67
cachegen,16384,0.875,0.0056,0.0029,156.39,299.84
cachegen,17408,0.9297,0.006,0.003,155.53,311.31
cachegen,18432,0.9844,0.0062,0.0033,158.21,296.1
cachegen,19456,1.0391,0.0064,0.0035,161.21,295.59
cachegen,20480,1.0938,0.0066,0.0037,164.76,292.98
cachegen,21504,1.1485,0.0068,0.0039,167.97,294.17
cachegen,22528,1.2031,0.007,0.0042,170.77,289.83
cachegen,23552,1.2578,0.0074,0.0043,169.19,295.35
cachegen,24576,1.3125,0.0077,0.0044,170.75,297.04
cachegen,25600,1.3672,0.0079,0.0047,172.0,292.83
cachegen,26624,1.4219,0.0082,0.0048,173.07,297.0
cachegen,27648,1.4766,0.0086,0.0049,172.58,300.43
cachegen,28672,1.5313,0.0087,0.0052,176.29,296.33
cachegen,29696,1.586,0.0089,0.0053,177.49,300.42
cachegen,30720,1.6406,0.0093,0.0054,176.25,303.46
cachegen,31744,1.6953,0.0096,0.0056,177.07,301.34
cachegen,32768,1.75,0.0097,0.0058,179.86,303.46
hadamard,1024,0.0547,0.0024,0.0019,22.66,28.73
hadamard,2048,0.1094,0.0024,0.0019,45.98,58.08
hadamard,3072,0.1641,0.0024,0.0019,68.86,86.72
hadamard,4096,0.2188,0.0024,0.0018,90.23,118.46
hadamard,5120,0.2735,0.0024,0.0019,113.84,142.6
hadamard,6144,0.3281,0.0024,0.0019,136.66,170.59
hadamard,7168,0.3828,0.0025,0.0021,150.16,184.95
hadamard,8192,0.4375,0.0025,0.002,172.98,220.08
hadamard,9216,0.4922,0.0028,0.0022,176.47,222.48
hadamard,10240,0.5469,0.003,0.0023,180.01,233.11
hadamard,11264,0.6016,0.0032,0.0027,185.76,225.2
hadamard,12288,0.6563,0.0035,0.0028,188.97,235.0
hadamard,13312,0.711,0.0037,0.0028,191.26,255.47
hadamard,14336,0.7656,0.0039,0.003,195.33,255.1
hadamard,15360,0.8203,0.0043,0.0034,192.36,244.56
hadamard,16384,0.875,0.0046,0.0034,189.94,256.54
hadamard,17408,0.9297,0.0048,0.0036,194.83,259.63
hadamard,18432,0.9844,0.005,0.0037,198.44,266.05
hadamard,19456,1.0391,0.0053,0.0038,195.14,271.56
hadamard,20480,1.0938,0.0056,0.0041,195.38,269.38
hadamard,21504,1.1485,0.0062,0.0044,184.68,259.06
hadamard,22528,1.2031,0.0063,0.0044,192.19,271.55
hadamard,23552,1.2578,0.0066,0.0046,191.88,271.57
hadamard,24576,1.3125,0.0068,0.0048,193.31,272.91
hadamard,25600,1.3672,0.0071,0.0049,193.63,276.61
hadamard,26624,1.4219,0.0073,0.0051,194.03,277.45
hadamard,27648,1.4766,0.0078,0.0053,188.31,277.9
hadamard,28672,1.5313,0.0079,0.0056,192.86,274.87
hadamard,29696,1.586,0.0082,0.0058,193.74,272.87
hadamard,30720,1.6406,0.0084,0.006,195.18,274.68
hadamard,31744,1.6953,0.0087,0.0061,194.33,276.66
hadamard,32768,1.75,0.009,0.0063,193.43,277.62
quantizer,1024,0.0547,0.0053,0.0016,10.26,34.39
quantizer,2048,0.1094,0.0048,0.0014,22.76,75.96
quantizer,3072,0.1641,0.0051,0.0015,32.1,106.35
quantizer,4096,0.2188,0.0052,0.0015,42.43,142.3
quantizer,5120,0.2735,0.0051,0.0018,53.89,153.56
quantizer,6144,0.3281,0.0053,0.0019,61.41,171.51
quantizer,7168,0.3828,0.0056,0.002,68.22,188.77
quantizer,8192,0.4375,0.0058,0.0022,75.32,203.47
quantizer,9216,0.4922,0.0063,0.0022,78.32,220.29
quantizer,10240,0.5469,0.0066,0.0024,83.0,230.46
quantizer,11264,0.6016,0.0068,0.0027,88.0,221.25
quantizer,12288,0.6563,0.0072,0.0028,90.99,231.63
quantizer,13312,0.711,0.0073,0.0029,97.01,244.97
quantizer,14336,0.7656,0.0076,0.003,100.94,251.65
quantizer,15360,0.8203,0.0079,0.0032,104.25,255.65
quantizer,16384,0.875,0.0082,0.0033,106.54,268.08
quantizer,17408,0.9297,0.0085,0.0035,109.83,265.78
quantizer,18432,0.9844,0.0088,0.0038,111.29,262.26
quantizer,19456,1.0391,0.0092,0.0039,113.06,269.23
quantizer,20480,1.0938,0.0094,0.0039,115.8,278.97
quantizer,21504,1.1485,0.0098,0.0041,117.04,282.78
quantizer,22528,1.2031,0.0102,0.0044,118.28,272.93
quantizer,23552,1.2578,0.0104,0.0045,120.73,277.76
quantizer,24576,1.3125,0.0107,0.0047,122.34,278.85
quantizer,25600,1.3672,0.011,0.0049,124.39,281.67
quantizer,26624,1.4219,0.0113,0.005,126.34,285.93
quantizer,27648,1.4766,0.0116,0.0053,127.19,278.8
quantizer,28672,1.5313,0.0119,0.0054,128.97,283.46
quantizer,29696,1.586,0.0122,0.0055,130.52,286.16
quantizer,30720,1.6406,0.0125,0.0057,131.41,289.37
quantizer,31744,1.6953,0.0128,0.0058,132.46,290.78
quantizer,32768,1.75,0.0132,0.006,132.35,291.06
