5,184,76.92
10,368,87.79
15,547,86.8
20,722,86.31
25,884,83.28
30,1041,84.56
35,1204,84.38
40,1404,84.06
45,1555,83.31
50,1765,83.46
75,2594,84.93
100,3492,84.61
